Generation;Best;Average
169;2,185635112706641;2,3539303554957938
170;2,185635112706641;2,3523724184619166
171;2,185635112706641;2,351379862114136
172;2,185635112706641;2,35379065261265
173;2,185635112706641;2,356470128347697
174;2,185635112706641;2,355318769507005
175;2,185635112706641;2,3541289338316678
176;2,185635112706641;2,3577100837431697
177;2,185635112706641;2,3558980164366754
178;2,185635112706641;2,357233514636167
179;2,185635112706641;2,352473000656045
180;2,185635112706641;2,3553865212211647
181;2,185635112706641;2,3546140163950198
182;2,185635112706641;2,3541152394081384
183;2,185635112706641;2,356770076192388
184;2,185635112706641;2,354761511001694
185;2,185635112706641;2,3529449122321897
186;2,185635112706641;2,355624292474725
187;2,1817051860409005;2,3565731971136006
188;2,1817051860409005;2,35477943202119
189;2,1817051860409005;2,356049015020237
190;2,1817051860409005;2,3551447418301255
191;2,1817051860409005;2,3572004484159885
192;2,1817051860409005;2,3546652933248495
193;2,1817051860409005;2,3564383007606415
194;2,1817051860409005;2,3562551906604376
195;2,1817051860409005;2,3565715607796585
196;2,1817051860409005;2,3548005069522304
197;2,1817051860409005;2,356474347189051
198;2,1817051860409005;2,3554598670017577
199;2,1817051860409005;2,3535035028690987
200;2,1817051860409005;2,354493673787395
